task_external_id	final_category	source	override_value	csv_label	agrees_with_csv
_old	C99_other	fallback			
allbirds-cart-total-socks-breezer-terraluxe	C1_ecommerce	rule			
allbirds-cheapest-mens-sneaker-size-9	C1_ecommerce	rule			
allbirds-mens-largest-discount	C1_ecommerce	rule			
allbirds-mens-sneakers-avg-discount	C1_ecommerce	rule			
allbirds-new-arrivals-sole-colors	C1_ecommerce	rule			
allbirds-rerun-biggest-price-change	C1_ecommerce	rule			
allbirds-rerun-clearance-oldest-item	C1_ecommerce	rule			
allbirds-rerun-clearance-white-shoe-pct	C1_ecommerce	rule			
athena-authenticity-assessment	C5_ehr	rule			
athena-hpi-to-signoff	C5_ehr	rule			
athena-import-lab-results-into-hpi	C5_ehr	rule			
athena-ob-hpi-signoff-gpt	C5_ehr	rule			
athena-ob-hpi-signoff-opus	C5_ehr	rule			
athena-ob-preeclampsia-labs-hpi	C5_ehr	rule			
athena-ob-rn-hpi-lab-update	C5_ehr	rule			
athena-recurring-booking-arjun-patel	C5_ehr	rule			
athena-recurring-booking-mei-chen	C5_ehr	rule			
athena-recurring-booking-multi-conflict	C5_ehr	rule			
athena-visits-amend-past-encounter	C5_ehr	rule			
bert-fill-in-blank-least-likely-ny-texas	C2_structured	rule			
bert-fill-in-blank-narnia-gotham-differences	C2_structured	rule			
bert-fill-in-blank-narnia-gotham-likelihoods	C2_structured	rule			
bert-fill-in-blank-spreadsheet-top-token	C2_structured	rule			
cambridge-beudo-most-energy-2024	C2_structured	rule			
carls-bfast-lunch-ez	C99_other	fallback			
carls-jr-asia-both	C4_smb	rule			
carls-jr-bfast-lunch	C4_smb	rule			
carls-jr-big-country	C4_smb	rule			
carls-jr-europe-markets	C4_smb	rule			
carlsjr-bfast-lunch	C4_smb	rule			
charleston-sc-hampton-park-black-percentage-change	C99_other	fallback			
city-of-imperial-residential-addition-permit-requirements	C3_government	rule			
click-calibration	C99_other	fallback			
clinton_response	C6_unscoped_search	rule			
cmu-neurips-faculty-count-from-test	C99_other	fallback			
computer-1/canvas-diagram-llm-judge	C99_other	fallback			
computer-1/click-calibration	C99_other	fallback			
counter-app-race-condition	C99_other	fallback			
cross-ref-chase-oakland-driver-history	C99_other	fallback			
cross-ref-fremont-drivers-prior-flags	C99_other	fallback			
cross-ref-repeat-driver-combined-wait	C99_other	fallback			
cross-ref-sfo-farthest-driver-rider-impact	C99_other	fallback			
csrankings-berkeley-acm-fellows-count	C2_structured	rule			
csrankings-stony-brook-neurips-not-icml-2000-2026	C2_structured	rule			
cua-verifier/slack-clone-cua-verify	C99_other	fallback			
darius-base-skin-spikes	C6_unscoped_search	rule			
desmos-strict-inequality-grid-count	C99_other	fallback			
difference-between-kirkcaldy-and-paisley	C2_structured	rule			
difference_between_kirkcaldy_and_paisley	C2_structured	rule			
doordash-chipotle-delivery-eta	C99_other	fallback			
easy-steak-allergens	C99_other	fallback			
eatwell-allergy-plan	C4_smb	rule			
eatwell-lunch-xref	C4_smb	rule			
eatwell-online-vs-pdf	C4_smb	rule			
eatwellatx-breakfast-tacos-symbols-differ	C4_smb	rule			
eatwellatx-cocktail-allergens-beverage-menu	C4_smb	rule			
eatwellatx-compare-breakfast-locations	C4_smb	rule			
eatwellatx-gluten-free-kitchen-claim	C4_smb	rule			
eatwellatx-kids-menu-allergen-claims	C4_smb	rule			
eatwellatx-nuts-in-dinner-items	C4_smb	rule			
eatwellatx-steak-allergens	C4_smb	rule			
eatwellatx-studio3-allergen-info	C4_smb	rule			
eatwellatx-sweet-potato-fries-symbols-differ	C4_smb	rule			
eatwellatx-vegan-symbol-meaning-differs	C4_smb	rule			
eatwellatx-vegetarian-vs-vegan-dinner	C4_smb	rule			
edg-blue-side-ban-role-most	C6_unscoped_search	rule			
fed-reserve-metropolitan-statistical-areas-unemployment-rate-greater-than-10	C3_government	rule		C3_government	yes
fed-reserve-unemployment-rate-difference-california-vs-texas	C3_government	rule		C3_government	yes
filebrowser-rename-broken	C99_other	fallback			
flatnotes-content-truncation	C99_other	fallback			
fleet-map-chase-center-high-risk	C99_other	fallback			
fleet-map-most-flagged-zone	C99_other	fallback			
fleet-map-sfo-pending-count	C99_other	fallback			
fleet-map-zone-with-highest-avg-discrepancy	C99_other	fallback			
form-validation-bypass	C99_other	fallback			
future-second-longest-song-pre-2025	C6_unscoped_search	rule			
gapminder-brazil-world-income-comparison	C2_structured	rule		C2_structured	yes
gapminder-carbon-emissions-by-country	C2_structured	rule			
gapminder-climate-change-threat-argentina	C2_structured	rule		C2_structured	yes
gapminder-gdp-life-expectancy-1996	C2_structured	rule		C2_structured	yes
gapminder-gdp-per-employee-2024	C2_structured	rule		C2_structured	yes
gapminder-population-by-age	C2_structured	rule			
gapminder-population-by-age-nominal	C2_structured	rule		C2_structured	yes
gapminder-ranking-gdp-per-capita-2006-using-linechart	C2_structured	rule			
gapminder-religion-life-expectancy-gdp-crossover	C2_structured	rule			
gb-ak-palmer-planning-zoning-t04-workflow-requirements	C3_government	rule			
gb-ca-city-of-imperial-community-development-t01-workflow-requirements	C3_government	rule			
gb-ca-city-of-imperial-community-development-t02-workflow-requirements	C3_government	rule			
gb-ca-city-of-imperial-community-development-t03-workflow-requirements	C3_government	rule			
gb-co-rio-blanco-county-t05-workflow-requirements	C3_government	rule		C3_government	yes
gb-de-new-castle-county-de-t01-workflow-requirements	C3_government	rule		C3_government	yes
gb-de-new-castle-county-de-t02-workflow-requirements	C3_government	rule		C3_government	yes
gb-de-new-castle-county-permits-inspections-t01-workflow-requirements	C3_government	rule		C3_government	yes
gb-il-piatt-county-il-t03-workflow-requirements	C3_government	rule			
gb-la-beauregard-parish-police-jury-t03-workflow-requirements	C3_government	rule			
gb-me-maine-lupc-northern-region-t01-workflow-requirements	C3_government	rule		C3_government	yes
gemini-zoom-smoke	C99_other	fallback			
githut-cpp-highest-pushes-q4-2014	C2_structured	rule			
githut-cpp-percent-repos-q3-2013	C2_structured	rule			
githut-earliest-language-appearance	C2_structured	rule			
githut-forks-ranks-vs-watchers-q3-2013	C2_structured	rule			
githut-javascript-lowest-category-rank-change	C2_structured	rule			
githut-second-fewest-opened-issues-2m	C2_structured	rule			
githut-smallest-push-difference-q2-2013	C2_structured	rule			
